"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","MANUFACTURER"
"A1","1","MLX90640ESF-BAA-000-TU","","","","MLX90640ESF-BAA-000-TU:TO292P930H600-4","Melexis"
"C1,C2","2","1u","","","","Capacitor_SMD:C_0805_2012Metric","  Cal-Chip Electronics, Inc."
"C3,C5,C10","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","Aillen"
"C4,C8","2",".1uF","","","","Capacitor_SMD:C_0805_2012Metric","  Cal-Chip Electronics, Inc."
"C7","1","470p","","","","Capacitor_SMD:C_0805_2012Metric","  Aillen"
"C9","1",".1uf","","","","Capacitor_SMD:C_0805_2012Metric","  Cal-Chip Electronics, Inc."
"C11","1","10uf","","","","Capacitor_SMD:C_0805_2012Metric","Aillen"
"C12","1","1uf","","","","Capacitor_SMD:C_0805_2012Metric","  Cal-Chip Electronics, Inc."
"D1","1","SS14","","","","Diode_SMD:D_SMA","  Lumimax Optoelectronic Technology"
"D3","1","BEAD-3W-W-120-03","","","","LED_1W:LED_1W_3W_R8","PCBoard.ca"
"Green1,POW-LED1,Red1","3","LED","","","","LED_SMD:LED_0805_2012Metric","  ORIENTAL TECHNOLOGY,  Visual Communications Company - VCC"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.5mm",""
"J3","1","battery","","","","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical_SMD","nothing using the pad"
"P1","1","USB_C_Plug_USB2.0","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","  Walta"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","  Alpha & Omega Semiconductor Inc."
"Q2","1","2N7002DW","","","","2N7002DW (1):SOT363","onsemi"
"R1","1","470","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R4,R7,R8,R15,R16","6","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","3.3k","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R6,R10,R11,R13","5","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R9,R12","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R14","1","2.7k","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1,SW4","2","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN","  C&K"
"SW2,SW3","2","SW_SPST","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","  Nidec Components"
"U1","1","CH340K","","","","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","WCH"
"U2","1","CN5711","","","","CN5711:SOIC-8-G","SLETESLIRI"
"U4","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","  TOP POWER ASIC "
"U6","1","ESP32-S3","","","","ESP32-S3:IC_ESP32-S3","  Espressif Systems"
"U7","1","MIC5219-3.3YM5","","","","Package_TO_SOT_SMD:SOT-23-5","  Microchip Technology"
